Priority,Status Indicator,Create Date,Created By,Requestor,Status Notes,Maintenance Date,Time of Maintenance,Description of Maintenance,User Impact (What's Affected?),Responsible IT Area,Impact Category,Purpose / Desired Result,Purpose Group,Point of Contact,Task Summary,Emergency / Time Senstive
,Completed,10/13/16 4:45 PM,web-form@smartsheet.com,Kevin Young,,10/22/16,,Server Reboots starting at 10pm for Security Patches,"SAP, PBF, and the District Website will all be impacted during the rebooting schedule.",ERP / SAP,,Preventive Maintenance. Microsoft best practice is to reboot Windows Servers monthly.,Preventive,Kevin Young,"Server shutdown order
a.       MWRDECCP0
b.      MWRDECCP1
c.       MWRDNBWP0
d.      MWRDNDIP1
e.      MWRDBOBP1
f.        MWRDPBFP1
g.       MWRDCEPP1
h.      MWRDPRDDB
Server restart order
i.         MWRDPRDDB
j.        MWRDECCP0
k.       MWRDECCP1
l.         MWRDNBWP0
m.    MWRDNDIP1
n.      MWRDBOBP1
o.      MWRDPBFP1
p.      MWRDCEPP1
Server shutdown order
q.      MWRDNEPP1
r.        MWRDNEPP2
s.       MWRDNEPP0
Server restart order
t.        MWRDNEPP0
u.      MWRDNEPP1
v.       MWRDNEPP2",
,Completed,10/07/16 8:44 AM,web-form@smartsheet.com,Police Department,,10/17/16,,Phase 1 roll out of Police Patrol Stops to production,None,GIS,,Roll out to production,New Implementation,Patrick Sendera,"1) Pint application at new database location for production
2)
3)
...

BACK OUT PLAN: 
....",
,Completed,10/14/16 10:57 AM,web-form@smartsheet.com,Thomas McEnery,Can you set limits by user? (e.g. Exec  Team only),10/14/16,,"Increase Email message limit to 55 mb, it is currently at 35mb","No impact, backend O365 adjustment",Network Infrastructure,,"Users will have the ability to send larger message attachments, due to possible message bloat during transport the 55mb is to allow 50 mb attachments.",Enhancement,Thomas McEnery,"1) Log into O365 tennant
2) Run the command to increase message size for all users
3) Verify the change ran successfully by spot checking a few users
...

BACK OUT PLAN: 
....",
,Completed,09/30/16 2:43 PM,web-form@smartsheet.com,Richard Wojkovich,,10/13/16,,Replace 3750 WAN switch at Egan with new ISR router,Administrative data and voice network will be down during maintenance window (3:30 pm - 7:00 pm).,Network Infrastructure,,Enhance WAN throughput by replacing antiquated equipment.,Enhancement,Ethan Warren,"1) Rack/Install new pre-configured router.
2) Backup configuration of existing router and local switch(s).
3) Make necessary changes to existing local switch(s) to enable connectivity to new router.
4) Move wired connection from existing WAN switch to new router and test connectivity to ASE network.
5) Connect local switch(s) to new router and test connectivity (voice & data).
...
BACK OUT PLAN: Return WAN connection to old 3750 switch, reprogram local switch(s) with original configuration and ensure connectivity to WAN is restored.",
,Completed,09/29/16 2:49 PM,web-form@smartsheet.com,Kevin Young,,10/08/16,,Monthly Server Reboots starting at 7pm.,"SAP, PBF, and the District Website will all be impacted during the rebooting schedule.",ERP / SAP,,Preventive Maintenance. Microsoft best practice is to reboot Windows Servers monthly.,Preventive,Kevin Young,"Server reboot order
a.	MWRDPRDDB
b.	MWRDECCP0
c.	MWRDECCP1
d.	MWRDNBWP0
e.	MWRDNDIP1
f.	MWRDBOBP1
g.	MWRDPBFP1
h.	MWRDCEPP1
i.	MWRDNEPP0
j.	MWRDNEPP1
k.	MWRDNEPP2",TRUE
,Completed,09/28/16 11:26 AM,web-form@smartsheet.com,Patrick Sendera,after 4:30p.m.,10/05/16,,Migration of Police DB from Oracle on Unix to Oracle on Windows,Police ORS and Gate Entry Programs will be unavailable,Multi-Team (Indicate groups in Additional Information),,Migration of database from unsupported hardware to supported hardware,Preventive,Patrick Sendera,"1) Disable application access to database
2) export police data from Unix database
3)Import police data to Windows Oracle database
4) Point application to new database
5) Verify application functionality

BACK OUT PLAN: 
Re-point application to old database and reschedule",
,Completed,10/04/16 11:00 AM,web-form@smartsheet.com,ervin cheng,12:30p,10/04/16,,increase CPU for mwrddevdb server currently it is set at 8. will increase to 16.,Only sap users and kevin young will verify everyone is off system before the system is shutdown.,Network Operations (Server / SAN),,the current cpu is not enough for the system to do other task.  all resources are constraint by the lack of CPU. Will free up more resources and can work more efficiently.,Enhancement,ervin cheng,"1) increase 8 to 16 cpu
2)
3)
...

BACK OUT PLAN: 
....",
,Completed,09/15/16 11:10 AM,web-form@smartsheet.com,Patrick Sendera,,10/04/16,,Switch over from old GISPUB server to new GISPUB server,All external GIS systems may experience at most few minutes of downtime,GIS,,upgrade of GISPUB to Windows 2012 server and virtualized will be complete,Preventive,Patrick Sendera,"1) Ethan will switch routing of GISPUB.mwrd.org to new server
2) Verify that all applications are working as expected
3)
...

BACK OUT PLAN: 
Switch routing of GISPUB.mwrd.org back to old server
....",
,Completed,09/20/16 10:27 AM,web-form@smartsheet.com,Richard Wojkovich,,09/29/16,,Replace 3750 WAN switch at O'Brien Plant,Administrative data and voice network will be down during replacement window (3:30 pm - 7:00 pm).,Network Infrastructure,,Enhance WAN throughput by replacing antiquated equipment.,Enhancement,Ethan Warren,"1) Rack/Install new pre-configured router.
2) Backup configuration of existing router and local switch.
3) Make necessary changes to existing local switch to enable connectivity to new router.
4) Move wired connection from existing WAN switch to new router and test connectivity to ASE network.
5) Connect local switch to router and test connectivity.
...
BACK OUT PLAN: Return WAN connection to old 3750 switch, reprogram local switch with original configuration and ensure connectivity to WAN is restored.
…",
,Completed,09/19/16 12:25 PM,web-form@smartsheet.com,Ethan Warren,,09/29/16,,FireEye OS upgrade/patch,None,Network Infrastructure,,Upgrade FireEye operating system to latest release.,Security,Ethan Warren,"1) Download latest OS
2) Install OS
3) Re-Boot to apply
...

BACK OUT PLAN: Appliance fails open if any problems occur.
....",
,Completed,09/20/16 12:17 PM,web-form@smartsheet.com,Kevin Young,,09/27/16,,"Change F5 redirects for 5 external websites to web server redirects.  Have 5 redirects on web server ready.  Change 1 redirect on f5 and test with ssl enable and certificate applied. If successful, will change the other 4.","All external and internal user who goes to rain barrel, ii, cso, wmo, and watershed will see web site not found",Network Operations (Server / SAN),,F5 will be decom and end of life on oct 31 2016.  Need to move all redirects out of the appliance and shut it down.,Preventive,Ervin Cheng,"1) test on one redirect change dns entry to point to new ip
2) change netted rule to point to new ip
3) test outside and internal to see if it works.
4) if everything looks good, proceed with the other 4 redirects.
5) test all redirects

BACK OUT PLAN: 
1) revert the ip changes back to original 
2) test the original redirects.",
,Completed,09/15/16 11:37 AM,web-form@smartsheet.com,Richard Wojkovich,,09/22/16,,Replace 3750 WAN switch at Kirie Water Reclamation Plant,Administrative data and voice network will be down during replacement window (3:30 pm - 7:00 pm).,Network Infrastructure,,Enhance WAN throughput by replacing antiquated equipment.,Enhancement,Ethan Warren,"1) Rack/Install new pre-configured router.
2) Backup configuration of existing router and local switch.
3) Make necessary changes to existing local switch to enable connectivity to new router.
4) Move wired connection from existing WAN switch to new router and test connectivity to ASE network.
5) Connect local switch to router and test connectivity.
...

BACK OUT PLAN: BACK OUT PLAN: Return WAN connection to old 3750 switch, reprogram local switch with original configuration and ensure connectivity to WAN is restored.
....",
,Completed,09/15/16 10:59 AM,web-form@smartsheet.com,McEnery,,09/22/16,,Upgrade our current O365 sync tool since it's being discontinued and to gain enhancements with the upgraded tool.,User replication to O365 will not function during this time. Any new user accts will have to wait until the upgrade is completed to replicate to O365. MS instructs that the whole upgrade should take roughly 30 min.,Network Operations (Server / SAN),,"Upgrade Dirsync to AD Connect, this will give us a shorter replication cycle (30 min vs 180min), password reset / writeback from O365 OWA to OnPrem AD.",Enhancement,McEnery,"1) Uninstall current sync tool - DirSync
2) Install new sync tool - AD Connect
3) Force new sync and adjust settings as needed
...

BACK OUT PLAN: reinstall old DirSync tool if necessary.
....",
,Completed,08/30/16 9:29 AM,web-form@smartsheet.com,Kevin Young,,09/22/16,,"Migration of PBF beginning at close of business on September 22, 2016",PBF and Non-Core Business Application Users,ERP / SAP,,Migration to virtual servers and SQLServer database.,Enhancement,Kevin Young,"1. Shutdown BIP
2. SAP export of the BIP data
3. Copy of the data dump to new Virtual DB and Application servers
4. Install of Application server and DB Instance build from the data dump
5. Reconnect BOBJ/PBF Portal/CE Portal to point to new Virtual BIP
6. All Virtual PEP/BOBJ/PBF/CE Portals are connected to each other


Back Out Plan:
1. If export is not successful, the current Physical BIP is just brought up
2. If export is successful no connections are made to the new Virtual Portals so   
    nothing to put back
3. If after successfully standing up Virtual BIP and making all connections to the 
    Virtual BOBJ/PBF/CE/PEP Portals, if during testing it is decided that we fall 
    back to old BIP
    Then the federation, single sign-on, and connections are reverted to the old 
    environment in PEP Portal",
,Completed,09/13/16 9:20 AM,web-form@smartsheet.com,Richard Wojkovich,,09/15/16,,Replace 3750 WAN switch at Hanover Park,Administrative data and voice network will be down during replacement window (3:30 pm - 7:00 pm).,Network Infrastructure,,Enhance WAN throughput by replacing antiquated equipment.,Enhancement,Ethan Warren,"1) Rack/Install new pre-configured router.
2) Backup configuration of existing router and local switch.
3) Make necessary changes to existing local switch to enable connectivity to new router.
4) Move wired connection from existing WAN switch to new router and test connectivity to ASE network.
5) Connect local switch to router and test connectivity.
...

BACK OUT PLAN: Return WAN connection to old 3750 switch, reprogram local switch with original configuration and ensure connectivity to WAN is restored.
....",
,Completed,08/31/16 1:48 PM,web-form@smartsheet.com,Kevin Young,,09/10/16,,Disaster Recovery System Testing,No SAP and ESS access,ERP / SAP,,Ability to bring up disaster recovery system,Preventive,Kevin Young,"1) Bring down SAP ECC system
2) Apply archive logs to DRS
3) Bring up SAP ECC in DRS Environment
...

BACK OUT PLAN: 
.... Bring Production SAP ECC back online.",TRUE
,Completed,08/17/16 11:45 AM,web-form@smartsheet.com,Kevin Young,,09/10/16,,Disaster Recovery Testing,SAP and ESS,ERP / SAP,,Testing Disaster Recovery System for SAP ECC system.,Preventive,Kevin Young,,
,Completed,08/31/16 2:52 PM,web-form@smartsheet.com,Kevin Young,,09/09/16,,PBF Migration Dry Run,PBF Unavailable from 9/9/2016 @ 10 pm through 9/11/2016,ERP / SAP,,To test if improvements made solve slow exporting issue,Fix / Patch,Kevin Young,"1. Shutdown BIP
2. SAP export of the BIP data
3. Copy of the data dump to new Virtual DB and Application servers
4. Record times
5. Bring original BIP back online.

BACK OUT PLAN: 
1. If export is not successful, the current Physical BIP is just brought up",TRUE
,Completed,09/01/16 11:42 AM,web-form@smartsheet.com,Richard Wojkovich,,09/08/16,,Replace Cisco 3750 WAN switch at Racine Pumping Station.,Administrative data and voice network will down during this replacement window (3pm - 7pm).,Network Infrastructure,,Beginning phase to upgrade WAN throughput by removing antiquated equipment.,Enhancement,Ethan Warren,"1) Rack/Install pre-configured router.
2) Endure backup of existing router and local switch.
3) Make necessary changes to local switch to connect to new router.
4) Move WAN connection from existing router to new router and ensure connectivity to ASE network.
5) Connect local switch to new router and test connectivity to router and WAN.
...

BACK OUT PLAN: Return WAN connection to old router, reprogram local switch with previous configuration and ensure connectivity to WAN
....",
,Completed,08/24/16 11:12 AM,web-form@smartsheet.com,Patrick Sendera,Upgrade process is very quick process and has been done several times before without issue. ; After 4:30p.m. UPDATE 92/2 - Pat S updated to Wed due to weather,09/07/16,,Upgrade SDE schemas on GIS databases,All GIS systems internal and public will experience downtime.  CSO system will be unavailable during this period so the plan will be dependent on the weather forecast.,GIS,,Upgrade SDE 10 version 10.3.1 from 10.2.2 to align with application software.  This also prepares us for 10.4.1 upgrade by end of year,Enhancement,Patrick Sendera,"1) Backup databases
2) Shutdown all GIS services and lock database connections
3)Run SDE upgrade tool
4)Restart SDE services.
5) Test GIS applications
...

BACK OUT PLAN: 
Restore databases from backup
....",
,Completed,08/17/16 11:44 AM,web-form@smartsheet.com,Kevin Young,,08/28/16,,Planned system reboot.,"SAP, PBF, District Website",ERP / SAP,,Scheduled system reboot @ 2am,Preventive,Kevin Young,,
,Completed,07/11/16 12:31 PM,web-form@smartsheet.com,Kevin Young,8/26 @ Noon ; Dependency - SSL cert,08/26/16,,"Migration of BW, PBF Portal, CE Portal and BOBJ and NWDI",PBF users,ERP / SAP,,Completion of the hardware and database migration project to SQLServer database and Windows Virtual Servers.,Enhancement,Kevin Young,,
,Completed,08/25/16 4:10 PM,web-form@smartsheet.com,Kevin Young,,08/25/16,,Shutdown of PRDBOB for data export for PBF Migration Project at 10:00 pm,PBF Users,ERP / SAP,,Preparing Virtual PRDBOB for PBF Migration,New Implementation,Kevin Young,"1) Reboot the server
2) Restart the application
3) Export data
...

BACK OUT PLAN: 
....",TRUE
,Completed,08/24/16 4:57 PM,web-form@smartsheet.com,M&R,,08/25/16,,move deployment to production,iPacs,,,"Fix unplanned outages of iPacs system, these outages cause us to reboot. The unplanned outages are a big loss of productive time to M&R and Finance",Fix / Patch,Roger Smith,"1) shut down system
2) backup server
3) apply scripts to database
4) move deployment to App server
5) open system to users

BACK OUT PLAN: 
If backout is required, we will restore the server from the snapshot taken immediately before the work began",
,Completed,08/25/16 3:58 PM,web-form@smartsheet.com,Ervin Cheng,,08/24/16,,Memory upgrade to all esxi host on both UCS systems,All Systems will have to be migrated off their respective host during the memory upgrade. It will be migrated back once the upgrade to the memory is finish.,Network Operations (Server / SAN),,All host on both UCS systems will have enough memory to support future resource needs.,Enhancement,Ervin Cheng,"1) vmotion all non-production servers during working hours.
2) vmotion all production during 7:30 to 8:15 a.m.
3) put host in maintenance mode, then power down host.
4) put more memory into host.
5) power up host and verify all memory is accounted for.
6) vmotion back non-production server anytime
7) vmotion all production during 7:30 to 8:15 a.m.
8) verify all system is functioning and performing correctly.
9) during the entire process, the server shouldn't be down and should be seamless to users.
...

BACK OUT PLAN: 
....
remove memory if is bad and retry another day after receiving new memory.",
,Completed,08/25/16 10:13 AM,web-form@smartsheet.com,Ethan Warren,Replacement chassis to be ordered through Cisco Smartnet.,08/24/16,,Attempt to replace defective board in CWRP_Mezz_4507 switch.  Found the chassis back plane has bad slot.  Replacement chassis to be ordered.,Multiple users in trades area could not connect to administrative network.,Network Infrastructure,,Restore connectivity for impacted users.,Fix / Patch,Ethan Warren,"1) Configured spare supervisor board and 48 port blade to replace possible defective boards.

2) Upon arrival spare blade did not work in slot 4 where original blade was installed. Removed replacement blade from slot 4 and installed replacement board to slot 6 and system came up.

3) Did not replace supervisor board.
...

BACK OUT PLAN: 
....",TRUE
,Completed,08/23/16 1:25 PM,web-form@smartsheet.com,Kevin Young,,08/23/16,,Restart of SAP Service because of account change from SAPSERVICEPRD to SAPServicePRD.,SAP users,ERP / SAP,,SAP's suggested course of action to resolve SQLServer and Active Directory disconnect.,Fix / Patch,Kevin Young,"1.       Stop SAP on Central Instance(MWRDECCP0) and App server(MWRDECCP1)
2.       Stop SAP services on Central Instance(MWRDECCP0) and App server(MWRDECCP1)
3.       Login as MWRD\SAPServicePRD and set environment variables same as prdadm on Central Instance(MWRDECCP0) and App server(MWRDECCP1
4.       Add the modified user MWRD\SAPServicePRD to SQL login users on MWRDPRDDB
5.       Change SAP Services on Central Instance(MWRDECCP0) and App server(MWRDECCP1) to user MWRD\SAPServicePRD
6.       Start Services
7.       Start SAP
8.       Ensure Transport directory/DATAXFER/ESS access

BACK OUT PLAN: 
Changed the AD account back to all upper case and putting the services back to using prdadm",TRUE
,Completed,08/18/16 2:12 PM,web-form@smartsheet.com,Kevin Young,,08/18/16,,The database and application servers were restarted.,SAP will be down for approximately15 minutes starting at 8pm,ERP / SAP,,Addressing the intermittent connection failures between Active Directory and SQLServer,Fix / Patch,Kevin Young,,TRUE
,Completed,07/21/16 2:42 PM,web-form@smartsheet.com,ervin cheng,Dependency is moving off GIS pub to use server as a backup target ; Bob will get update from Josh on new move date (ETA ~ Oct),08/18/16,,Update smart array p440ar controller firmware.  The firmware installed is 2.52. The new version is 4.02.,"All DMZ server will be affected.  All DMZ server will need to be shutoff.  All external apps, ftp, forms, districtjobs, gis, CAWAS, will be unavailable.",Network Operations (Server / SAN),,"There was a battery 1 failure on the host notice and hp required us to update our firmware for them to send us the parts to replace it. Once the update is completed, the diagnostic will be more accurate on the cause of the battery 1 status.",Fix / Patch,ervin cheng,,
,Completed,08/16/16 4:23 PM,web-form@smartsheet.com,Ethan Warren,,08/17/16,,Need to remove secondary IP helper address from VLAN configuration on MOB 6500 switch.,None,Network Infrastructure,,Help to remove duplicate nodes with multiple IP addresses from DNS,Preventive,Ethan Warren,,
,Completed,08/16/16 4:16 PM,web-form@smartsheet.com,Ethan Warren,,08/16/16,,Need to remove secondary IP helper address from VLAN configuration on MOB 6500 switch.,None,Network Infrastructure,,Help to remove duplicate nodes with multiple IP addresses from DNS,Preventive,Ethan Warren,,
,Completed,07/27/16 10:38 AM,web-form@smartsheet.com,Patrick sendera,Rich can provide strategic details to minimize user interruption ; NEEDS TO BE RE-SCHEDULED 7 COORDINATED WITH PAT S.,08/12/16,,DNS change for GISPRDAPP to access GIS1 directly rather than routed through F5,GIS Production Services - Internal,GIS,,Remove dependency on F5 since GIS production systems have been reduced to 1 node because of virtualation,Preventive,Patrick sendera,,
,Completed,08/10/16 11:08 AM,web-form@smartsheet.com,Ethan Warren,Should be completed by end AUGUST,08/11/16,,Need to remove secondary IP helper address from VLAN configuration on MOB 6500 switch.,None,Network Infrastructure,,Help to remove duplicate nodes with multiple IP addresses from DNS,Preventive,Ethan Warren,,
,Completed,07/11/16 1:41 PM,web-form@smartsheet.com,LaShun Osborn,Ervin will coordinate with Marcel,08/06/16,,Failover of MWRDVIDEO file server from Stickney to Oakbrook datacenter.,"Disruption of access to Sewer video data, Board Meeting/podcast video data.",Network Operations (Server / SAN),,Relocation of MWRDVIDEO server to another datacenter to better balance file server/app server distribution of resources.,Enhancement,Ervin Cheng,,
,Completed,07/11/16 12:26 PM,web-form@smartsheet.com,Kevin Young,,08/06/16,,The District Portal will be migrated to a Virtual Server along with a migrated database.,The District Website will be unavailable,ERP / SAP,,To move into a virtualized environment with a SQLServer database.,Enhancement,Kevin Young,,
,Completed,07/18/16 10:14 AM,web-form@smartsheet.com,Patrick sendera,,08/04/16,,Cut over to new IISMWRD server.  Old server will be renamed and new server will be named IISMWRD.  Downtime should be very minimal.  If cutover goes as planned it should be less than 15 minutes.,"Police ORS, PURCON, Contract Announcement Administration application, GASB34.",GIS,,Retire current IISMWRD 2003 server and implement current applications on virtual 2012 server.,Security,Patrick sendera,,
,Completed,07/11/16 1:29 PM,web-form@smartsheet.com,LaShun Osborn,,07/30/16,,Failover of PUBINFOSTORE file server from Stickney to Oakbrook datacenter.,Disruption of access to GA-Public Affairs data.,Network Operations (Server / SAN),,Relocation of PUBINFOSTORE file server to another datacenter to better balance file server/app server distribution of resources.,Enhancement,Ervin Cheng,,
,Completed,07/11/16 1:23 PM,web-form@smartsheet.com,LaShun Osborn,,07/28/16,,Failover of Blackbird file server from Stickney to Oakbrook datacenter.,"Disruption of access to Eng_Construction data, IRIS backup,  M&O data, Procurement data, Finance lockbox data, and SAP_DOC data.",Network Operations (Server / SAN),,Relocation of Blackbird file server to another datacenter to better balance file server/app server distribution of resources.,Enhancement,Ervin Cheng,,
,Completed,07/07/16 3:56 PM,web-form@smartsheet.com,ervin cheng,,07/23/16,,fileholdd migration to wsw-rvcenter. ervin will migrate the server and make sure the system is as before. will test the system by login into legalfiles to make sure db is able to connect. we are moving the server form a old bl460c G5 server hardware to the new UCS system  The bl460c g5 server have a smart array cache that failed often.,"fileholdd is a database that contains legal files database, ED's analysis database and construct wear database. we want to do this when no one is using all this systems. the effected area will be law and ed.",Network Operations (Server / SAN),,"better hardware, supported hardware and software. have backup, replication, HA and DRS. Remove old blade gear and decom datacenter.",Preventive,ervin cheng,,
,Completed,06/16/16 12:33 PM,web-form@smartsheet.com,Kevin Young,Website will be down from 1am until 6 am,07/23/16,,Enterprise Portal will be down,District's website,ERP / SAP,,Migration to Virtualized Windows server environment,New Implementation,Kevin Young,,
,Completed,07/13/16 9:21 AM,web-form@smartsheet.com,Ethan Warren,,07/21/16,,"Apply OS updates for security appliances, Ironport and FireEye.","No other systems or applications will be affected.

In the event updates fail, exposure to internet vulnerabilities and unlimited access to websites could occur.",Security,,Patch for vulnerabilities and fixes for operational issues.,Fix / Patch,Ethan Warren,,
,Completed,07/20/16 11:22 AM,web-form@smartsheet.com,Kevin Young,,07/20/16,,The District's website will need to be restarted. This is needed to possibly resolve a caching issue that could be hindering the 4B process.,The District's website will be unavailable for 20-30 minutes.,ERP / SAP,,Resolve the 4B issue.,Fix / Patch,Kevin Young,,TRUE
,Completed,06/16/16 12:30 PM,web-form@smartsheet.com,Kevin Young,The system will be down from noon on July15th - July 18th with the exception of power users on July 17th,07/15/16,,"SAP Production will be shutdown at 12 pm on July 15, 2016","SAP, ESS",ERP / SAP,,Go-live process for migration project.,New Implementation,Kevin Young,,
,Completed,06/16/16 12:27 PM,web-form@smartsheet.com,Kevin Young,PBF will be shutdown COB July 14 and available on July 18,07/14/16,,BIP system shutdown,PBF,ERP / SAP,,Go-live process for Migration project,New Implementation,Kevin Young,,
,Completed,07/06/16 2:31 PM,web-form@smartsheet.com,Kevin Young,,07/06/16,,Restart of CEPRDPortal due to slow response and possible garbage collection.,PBF,ERP / SAP,,Speed up response time,Fix / Patch,Kevin Young,,
,Completed,07/06/16 2:29 PM,web-form@smartsheet.com,Kevin Young,,07/05/16,,Restart of CEPRDPortal due to slow response and possible garbage collection.,PBF and a slower Website response,ERP / SAP,,Speed up response time.,Fix / Patch,Kevin Young,,
,Completed,06/16/16 12:20 PM,web-form@smartsheet.com,Kevin Young,District website will be unavailable from 1 am until 6 am,07/03/16,,Enterprise Portal shutdown for test exports for migration project.,District website,ERP / SAP,,To get a baseline of activities on Production servers,New Implementation,Kevin Young,,
,Completed,06/16/16 12:18 PM,web-form@smartsheet.com,Kevin Young,BIP will be unavailable from 6 am until 12 am,07/02/16,,BIP system shutdown for test exports for migration project.,PBF,ERP / SAP,,To get a baseline of activities on Production servers.,New Implementation,Kevin Young,,
,Completed,06/16/16 12:14 PM,web-form@smartsheet.com,Kevin Young,SAP will be unavailable from 6 am until 12 am,07/02/16,,SAP Production system shutdown for test exports for migration project.,SAP and ESS,ERP / SAP,,To get a baseline of activities on Production servers.,New Implementation,Kevin Young,,TRUE
,Completed,06/17/16 11:53 AM,web-form@smartsheet.com,Kendall / McEnery,https://technet.microsoft.com/en-us/library/cc755994(v=ws.10).aspx#w2k3tr_repto_how_qvtw,07/01/16,,Lower Site Link replication time from 180 minutes to 15 minutes,Active Directory,Network Infrastructure,,To speed up replication between on sight and Azure for possible future deployment of servers in Azure,Enhancement,Kendall / McEnery,,
,Completed,06/14/16 2:51 PM,web-form@smartsheet.com,Sean Kelly,I want to get this done ASAP,06/30/16,,Upgrade ALL Servers,Happy Users,Network Infrastructure,,A Raise,New Implementation,John Sudduth,,TRUE
,Completed,06/16/16 3:14 PM,web-form@smartsheet.com,,This is to be performed from 4:30-7:30,06/29/16,,Upgrade apps.mwrd.org to Windows Server 2012,"Applications hosted on apps.mwrd.org (CSO Viewer Applications, Contract Announcement Application, FOIA System, Vendor Search Application, District Job Website, Tour Request Form, MWRD Plant Data  - Monthly Plant Data, RSS Feeds on Website)",GIS,,Improved reliability and performance to applications hosted on apps.mwrd.org,Fix / Patch,Pat Sendera/Scott Ecklund,,
,Completed,06/27/16 12:21 PM,web-form@smartsheet.com,LaShun Osborn,,06/27/16,,Server Re-boot of VMPERFAP,"The dashboard will be affected. The server will be re-booted at 4:30  by the Network Operations group.   The departments: Engineering, HR, M&O and Procurement will not be able to access the dashboard",Network Operations (Server / SAN),,"Message from LaShun follows:
Good morning,

The File System backup of the server VMPERFAP is currently in a pending state. It appears the CommVault services may not be running. I tried logging into the server via RDP as well as the vSphere client (both installed and web.) I am unable to get any response from the console (no login window when I try to send a Ctrl + Alt + Del.) Patrick also had the same results when trying to connect to the virtual machine. The server is responding to ping requests.

Would it be possible to set up a time today to reboot this VM? Please advise.

Thanks,
LaShun",Fix / Patch,"LaShun Osborn, Patrick Kane and Raymond McCague",,TRUE
,Completed,06/23/16 2:15 PM,web-form@smartsheet.com,Chris Kendall,,06/24/16,,"Remove and refresh DNS records for fileservers Cobra,Eagle,Falcon,Hawk,Raptor, & Tomcat.",There should be no affect to any users or systems.,Network Operations (Server / SAN),,To verify critical systems are properly updating their DNS records prior to enabling DNS scavenging.,Preventive,Chris Kendall,,
,Completed,06/20/16 10:15 AM,web-form@smartsheet.com,Ervin Cheng,Stickney WRP I.T. Alternate Site Contact:  John Cernick,06/21/16,,"Virtual System Filebound will need to be taken offline and migrated to the new hardware system platform located in the Stickney Computer Room. 
This conversion/migration process can take anywhere from 1 to 10 hours to complete per system; depending on system size and configuration.  ITD prefers to perform the migration process during the business day to ensure proper operation post-migration, and to allow for any collaboration between Engineering and I.T. to answer questions.
In the event that the conversion and migration process fails, the original system will be powered back on made available for use.
User contact to test system functionality post-migration;  Mark Rzepecki: 84041","Stickney WRP Engineering Group; Mark Rzepecki, Dan Bergstrom, Jeff Wang.  System also integrates with MMS system, and is used in conjunction with system FileBound.  Therefore, both systems will be migrated simultaneously to minimize service impact; post migration.",Network Operations (Server / SAN),,"Migration of virtual system to new system infrastructure platform; providing  additional resources and increased performance for a more productive end-user experience. In addition, production data and system (datastore) repository will be replicated to remote site (Zayo, Oak Brook, IL) for protection and recovery.",Enhancement,"Patrick Kane x15832, Ervin Cheng x17908",,
,Completed,06/20/16 10:12 AM,web-form@smartsheet.com,Ervin Cheng,Alternate Stickney I.T. Site Contact:  John Cernick,06/21/16,,"Virtual System instequipmgmtdb will need to be taken offline and migrated to the new hardware system platform located in the Stickney Computer Room. 

This conversion/migration process can take anywhere from 1 to 10 hours to complete per system; depending on system size and configuration.  ITD prefers to perform the migration process during the business day to ensure proper operation post-migration, and to allow for any collaboration between Engineering and I.T. to answer questions.

In the event that the conversion and migration process fails, the original system will be powered back on made available for use.

User contact to test system functionality post-migration;  Mark Rzepecki: 84041","Stickney WRP Engineering Group; Mark Rzepecki, Dan Bergstrom, Jeff Wang.  System also integrates with MMS system, and is used in conjunction with system FileBound.  Therefore, both systems will be migrated simultaneously to minimize service impact; post migration.",Network Operations (Server / SAN),,"Migration of virtual system to new system infrastructure platform; providing  additional resources and increased performance for a more productive end-user experience. In addition, production data and system (datastore) repository will be replicated to remote site (Zayo, Oak Brook, IL) for protection and recovery.",Enhancement,Patrick Kane x15832 or Ervin Cheng x17908,,
,Completed,06/15/16 12:28 PM,web-form@smartsheet.com,ervin cheng,,06/18/16,,summation migration to wsw-rvcenter. Ervin Cheng will do the migration and make sure the system is as before. Will test the system by login into summation to make sure db is able to connect. We are moving the server from a free version of VMware to a full license of VMware and from a dl380 G5 to the UCS system,summation is a database that contains summation database. We want to do this when no one is using all this systems. The affected area will be law. Law users are being notify and also erin Johnson email me that no one will be working this Saturday.,Network Operations (Server / SAN),,"Better hardware, supported hardware & software. Have backup, replication, HA, and DRS. Remove old dl380 G5s and decom of datacenter.",Preventive,ervin cheng,,
,Completed,06/15/16 12:23 PM,web-form@smartsheet.com,Ervin Cheng,Migration Failed  - re-scheduled for 7/23/16 ; Completed 7/23,06/18/16,,fileholdd migration to wsw-rvcenter. Ervin Cheng will do the migration and make sure the system is as before. Will test the system by login into legalfiles to make sure db is able to connect. We are moving the server from a free version of VMware to a full license of VMware and from a dl380 G5 to the UCS system,"fileholdd is a database that contains legal files database, ED's analysis database and construct wear database.  We want to do this when no one is using all this systems. The affected area will be law, and ed.",Network Operations (Server / SAN),,"Better hardware, supported hardware & software. Have backup, replication, HA, and DRS. Remove old dl380 G5s and decom of datacenter.",Preventive,Ervin Cheng,,
